ma_khach_hang,ho_ten,gioi_tinh,tuoi,ngay_dang_ky,danh_muc_yeu_thich,ma_dia_ly,ma_kenh
CUS0000068,Phạm Linh,Female,18,2024-09-30,Moisturizer,22,1
CUS0000069,Nguyễn Sơn,Male,17,2023-10-22,Moisturizer,7,8
CUS0000070,Hồ Việt,Male,29,2024-04-29,Sunscreen,16,7
CUS0000071,Hoàng Hà,Female,16,2025-06-10,Moisturizer,8,5
CUS0000072,Hoàng Minh,Male,39,2022-05-20,Toner,18,2
CUS0000073,Ngô Ngọc,Female,16,2025-12-15,Toner,2,3
CUS0000074,Đỗ Long,Male,27,2024-03-29,Moisturizer,23,7
CUS0000075,Phan Cường,Male,16,2025-02-28,Moisturizer,20,7
CUS0000076,Hồ Trang,Female,23,2025-07-02,Sunscreen,11,5
CUS0000077,Vũ Dũng,Male,41,2025-04-01,Serum,7,7
CUS0000078,Phan Chi,Female,25,2025-12-11,Serum,19,6
CUS0000079,Nguyễn Nga,Female,21,2025-05-17,Toner,23,2
CUS0000080,Đặng Đức,Male,21,2025-05-23,Serum,3,8
CUS0000081,Vũ Mai,Female,30,2024-06-30,Cleanser,20,8
CUS0000082,Dương Nga,Female,18,2023-05-17,Moisturizer,12,7
CUS0000083,Phan Hương,Female,22,2025-02-16,Moisturizer,15,7
CUS0000084,Đặng Diệu,Female,38,2024-04-20,Sunscreen,19,2
CUS0000085,Hồ Hà,Female,40,2023-03-20,Sunscreen,3,5
CUS0000086,Đặng Thảo,Female,28,2023-08-22,Serum,22,2
CUS0000087,Vũ Hà,Female,25,2025-12-30,Cleanser,11,2
CUS0000088,Hoàng Tài,Male,38,2025-07-25,Sunscreen,3,7
CUS0000089,Đỗ Vy,Female,16,2023-07-04,Sunscreen,10,7
CUS0000090,Phạm Khoa,Male,51,2024-12-16,Sunscreen,6,5
CUS0000091,Hoàng Thu,Female,16,2024-12-27,Cleanser,17,2
CUS0000092,Hồ Linh,Female,31,2025-04-09,Serum,15,8
CUS0000093,Lý Thảo,Female,25,2022-05-18,Serum,19,8
CUS0000094,Hoàng An,Female,29,2025-03-14,Cleanser,8,7
CUS0000095,Đặng Nhung,Female,26,2023-10-07,Sunscreen,10,8
CUS0000096,Vũ Long,Male,23,2022-01-11,Toner,8,2
CUS0000097,Dương Linh,Female,36,2024-04-02,Sunscreen,3,8
CUS0000098,Đỗ Diệu,Female,22,2023-07-18,Toner,16,5
CUS0000099,Vũ Vy,Female,30,2025-09-12,Serum,3,7
CUS0000100,Nguyễn Ngọc,Female,40,2023-06-01,Serum,3,2
CUS0000101,Lê Vy,Female,35,2022-03-10,Toner,10,8
CUS0000102,Dương Phương,Female,30,2025-08-17,Cleanser,7,2
CUS0000103,Hoàng Bảo,Female,25,2024-10-25,Cleanser,19,5
CUS0000104,Vũ Trang,Female,30,2023-03-29,Cleanser,7,7
CUS0000105,Phạm Diệu,Female,24,2023-02-09,Toner,10,6
CUS0000106,Đỗ Linh,Female,24,2025-04-28,Serum,17,2
CUS0000107,Trần Linh,Female,50,2023-01-29,Sunscreen,11,7
CUS0000108,Đỗ Phúc,Male,35,2025-04-26,Sunscreen,11,2
CUS0000109,Dương Vy,Female,17,2023-04-23,Serum,10,3
CUS0000110,Phạm Hải,Male,21,2023-06-26,Cleanser,23,5
CUS0000111,Lý Việt,Male,30,2022-04-16,Serum,11,4
CUS0000112,Lý Vy,Female,27,2022-07-04,Cleanser,15,7
CUS0000113,Hồ Khoa,Male,36,2025-12-06,Cleanser,11,7
CUS0000114,Đỗ Bảo,Female,27,2024-06-14,Serum,10,6
CUS0000115,Lê Lan,Female,23,2025-01-16,Cleanser,16,3
CUS0000116,Ngô Nhung,Female,28,2023-09-28,Toner,10,8
CUS0000117,Vũ Nhung,Female,16,2025-11-23,Serum,17,6
CUS0000118,Nguyễn Nhung,Female,31,2025-08-10,Sunscreen,4,2
CUS0000119,Lê Trang,Female,22,2024-07-20,Cleanser,7,2
CUS0000120,Hồ Bình,Male,24,2025-09-11,Sunscreen,23,5
CUS0000121,Trần Phúc,Male,35,2022-01-06,Toner,10,7
CUS0000122,Ngô Hải,Male,33,2025-07-14,Cleanser,20,8
CUS0000123,Hoàng Diệu,Female,34,2025-12-12,Moisturizer,20,5
CUS0000124,Hồ Nga,Female,34,2024-12-10,Moisturizer,16,3
CUS0000125,Lê Hương,Female,16,2022-10-28,Cleanser,8,3
CUS0000126,Trần Hà,Female,23,2023-01-18,Cleanser,17,1
CUS0000127,Phạm Nga,Female,32,2024-09-03,Toner,20,7
CUS0000128,Đặng Hà,Female,35,2024-04-13,Cleanser,6,7
CUS0000129,Vũ Hùng,Male,16,2025-03-29,Serum,15,7
CUS0000130,Vũ Nga,Female,26,2025-07-06,Serum,22,7
CUS0000131,Phan Hoa,Female,40,2023-11-16,Sunscreen,11,5
CUS0000132,Phạm Mai,Female,26,2024-04-01,Serum,10,8
CUS0000133,Lê Thảo,Female,27,2024-10-29,Cleanser,7,2
CUS0000134,Lý Long,Male,25,2022-01-28,Moisturizer,16,8
CUS0000135,Lý Phương,Female,32,2024-06-06,Serum,13,3
CUS0000136,Trần Hà,Female,39,2024-03-10,Sunscreen,7,7
CUS0000137,Nguyễn Phúc,Male,24,2025-02-16,Serum,6,3
CUS0000138,Dương Trang,Female,20,2025-03-15,Cleanser,16,5
CUS0000139,Hoàng Nam,Male,31,2024-04-25,Toner,3,8
CUS0000140,Đặng Nga,Female,18,2024-01-04,Moisturizer,17,3
CUS0000141,Bùi An,Female,18,2024-11-27,Cleanser,14,2
CUS0000142,Nguyễn Chi,Female,35,2024-12-08,Serum,14,1
CUS0000143,Phạm Hương,Female,37,2025-02-05,Serum,12,7
CUS0000144,Dương Phương,Female,41,2024-05-04,Toner,6,8
CUS0000145,Dương Linh,Female,42,2025-05-06,Toner,23,2
CUS0000146,Lê Nhung,Female,16,2022-10-12,Sunscreen,10,5
CUS0000147,Hồ Thu,Female,30,2025-07-27,Cleanser,11,7
CUS0000148,Hoàng Cường,Male,29,2024-11-07,Serum,8,7
CUS0000149,Hồ Hoa,Female,33,2025-02-01,Moisturizer,20,7
CUS0000150,Đặng Đức,Male,31,2025-02-17,Moisturizer,16,2
CUS0000151,Vũ Thu,Female,25,2024-07-15,Toner,17,7
CUS0000152,Phạm Hoa,Female,41,2025-12-27,Serum,12,7
CUS0000153,Đặng Nga,Female,37,2025-10-27,Moisturizer,23,7
CUS0000154,Dương Bảo,Female,28,2024-01-17,Sunscreen,2,5
CUS0000155,Hồ Vy,Female,44,2024-01-18,Moisturizer,20,3
CUS0000156,Lý Hải,Male,28,2024-02-13,Serum,17,7
CUS0000157,Phan Ngọc,Female,21,2024-04-16,Toner,14,4
CUS0000158,Bùi Chi,Female,37,2024-03-21,Toner,3,4
CUS0000159,Lê Tuấn,Male,36,2023-02-20,Cleanser,12,5
CUS0000160,Dương Bảo,Female,24,2023-11-25,Sunscreen,17,8
CUS0000161,Đỗ Nhung,Female,19,2022-10-19,Cleanser,11,6
CUS0000162,Lý Thảo,Female,39,2024-09-06,Sunscreen,17,7
CUS0000163,Đặng Bảo,Female,32,2024-08-13,Serum,11,7
CUS0000164,Vũ Linh,Female,22,2023-01-02,Serum,17,2
CUS0000165,Lê Linh,Female,29,2023-05-22,Cleanser,11,7
CUS0000166,Hồ Hà,Female,16,2023-03-22,Serum,16,1
CUS0000167,Đặng Hoa,Female,20,2025-03-18,Sunscreen,12,8
CUS0000168,Nguyễn Nhung,Female,38,2025-02-10,Sunscreen,22,7
CUS0000169,Phan Diệu,Female,30,2023-06-22,Cleanser,7,2
CUS0000170,Nguyễn Bảo,Female,22,2023-07-15,Moisturizer,22,5
CUS0000171,Lê Diệu,Female,23,2022-07-13,Serum,11,8
CUS0000172,Nguyễn Anh,Male,28,2025-07-28,Cleanser,2,3
CUS0000173,Dương Lan,Female,28,2022-10-16,Toner,22,8
CUS0000174,Lê Cường,Male,34,2023-12-04,Cleanser,10,7
CUS0000175,Phan Chi,Female,38,2022-08-10,Serum,22,5
CUS0000176,Hồ Bảo,Female,38,2023-01-11,Serum,8,2
CUS0000177,Nguyễn Bình,Male,21,2025-05-21,Sunscreen,23,1
CUS0000178,Bùi Thảo,Female,19,2022-09-13,Cleanser,4,4
CUS0000179,Dương Linh,Female,25,2023-06-16,Moisturizer,8,8
CUS0000180,Đỗ Hải,Male,32,2023-06-27,Moisturizer,3,5
CUS0000181,Nguyễn Hà,Female,41,2023-12-18,Sunscreen,8,7
CUS0000182,Đặng Phương,Female,38,2025-08-01,Cleanser,16,5
CUS0000183,Hoàng Thu,Female,25,2022-09-12,Cleanser,21,8
CUS0000184,Ngô Tài,Male,25,2024-03-17,Toner,13,5
CUS0000185,Đặng Việt,Male,20,2025-06-22,Cleanser,8,7
CUS0000186,Hồ Tài,Male,25,2024-07-19,Cleanser,3,5
CUS0000187,Nguyễn Hương,Female,25,2025-07-18,Serum,11,7
CUS0000188,Vũ An,Female,27,2023-01-27,Sunscreen,8,3
CUS0000189,Trần Nhung,Female,22,2024-06-09,Sunscreen,11,6
CUS0000190,Đặng Lan,Female,18,2023-11-07,Serum,6,5
CUS0000191,Dương Phương,Female,21,2023-07-30,Serum,16,5
CUS0000192,Đỗ Đức,Male,27,2022-03-07,Serum,18,8
CUS0000193,Nguyễn An,Female,20,2023-12-07,Serum,10,5
CUS0000194,Đỗ Linh,Female,38,2025-08-30,Sunscreen,4,8
CUS0000195,Đỗ Ngọc,Female,36,2025-04-15,Moisturizer,23,2
CUS0000196,Dương Thảo,Female,36,2023-12-21,Serum,7,6
CUS0000197,Ngô Hoa,Female,30,2023-09-11,Serum,17,7
CUS0000198,Phạm Bảo,Female,29,2022-06-08,Serum,13,3
CUS0000199,Nguyễn Hà,Female,17,2024-02-21,Sunscreen,16,6
CUS0000200,Dương Thảo,Female,19,2022-04-20,Sunscreen,22,3
CUS0000201,Bùi Phương,Female,25,2023-04-16,Serum,8,8
CUS0000202,Hoàng Khoa,Male,36,2022-01-05,Sunscreen,6,7
CUS0000203,Vũ Lan,Female,34,2025-12-04,Toner,17,2
CUS0000204,Phan Hà,Female,23,2024-11-28,Sunscreen,6,6
CUS0000205,Trần Khoa,Male,31,2023-11-13,Serum,5,6
CUS0000206,Đỗ Mai,Female,19,2023-07-06,Serum,15,5
CUS0000207,Đặng Vy,Female,32,2023-04-25,Serum,17,3
CUS0000208,Đỗ Linh,Female,25,2024-02-20,Toner,21,7
CUS0000209,Dương Trang,Female,23,2024-10-27,Cleanser,6,7
CUS0000210,Dương Bình,Male,30,2024-06-11,Moisturizer,15,2
CUS0000211,Ngô Cường,Male,27,2023-04-27,Serum,23,5
CUS0000212,Phạm Hà,Female,28,2024-06-28,Sunscreen,4,7
CUS0000213,Dương Việt,Male,16,2024-03-19,Serum,8,2
CUS0000214,Vũ Vy,Female,35,2024-03-18,Cleanser,10,7
CUS0000215,Vũ Hà,Female,34,2024-01-16,Sunscreen,15,7
CUS0000216,Hồ Thu,Female,45,2025-07-20,Sunscreen,3,6
CUS0000217,Đặng Hà,Female,23,2023-01-27,Cleanser,12,6
CUS0000218,Đỗ Linh,Female,46,2024-06-27,Sunscreen,2,2
CUS0000219,Bùi Minh,Male,27,2025-07-27,Toner,18,7
CUS0000220,Ngô Chi,Female,23,2022-09-21,Sunscreen,10,8
CUS0000221,Đặng Chi,Female,32,2025-04-13,Moisturizer,11,8
CUS0000222,Phan Việt,Male,16,2025-05-27,Moisturizer,12,6
CUS0000223,Lý Diệu,Female,19,2024-01-12,Sunscreen,15,8
CUS0000224,Trần Chi,Female,27,2025-10-15,Moisturizer,8,8
CUS0000225,Trần Lan,Female,21,2025-12-13,Toner,3,7
CUS0000226,Lý Hà,Female,18,2024-12-25,Toner,20,2
CUS0000227,Đỗ Sơn,Male,21,2025-06-11,Sunscreen,14,2
CUS0000228,Vũ Lan,Female,33,2025-11-11,Sunscreen,14,8
CUS0000229,Trần Chi,Female,19,2025-11-05,Sunscreen,20,3
CUS0000230,Ngô Thảo,Female,30,2023-02-26,Cleanser,11,2
CUS0000231,Lê Phương,Female,57,2025-08-27,Sunscreen,10,7
CUS0000232,Trần Nga,Female,31,2023-03-28,Sunscreen,4,2
CUS0000233,Hồ Hoa,Female,29,2023-07-03,Serum,4,5
CUS0000234,Phan Sơn,Male,28,2022-07-23,Toner,15,7
CUS0000235,Ngô Diệu,Female,27,2025-12-02,Cleanser,3,7
CUS0000236,Dương Phúc,Male,26,2025-02-24,Toner,23,7
CUS0000237,Trần Linh,Female,34,2024-08-10,Serum,8,7
CUS0000238,Hồ Hà,Female,28,2022-05-09,Cleanser,9,7
CUS0000239,Dương Hà,Female,26,2023-02-03,Serum,20,8
CUS0000240,Lê Thảo,Female,20,2024-12-25,Cleanser,7,8
CUS0000241,Vũ Mai,Female,30,2025-09-08,Moisturizer,11,7
CUS0000242,Lý Hà,Female,22,2023-12-28,Sunscreen,8,7
CUS0000243,Ngô Hà,Female,27,2025-05-13,Serum,16,7
CUS0000244,Lý Nhung,Female,26,2022-09-04,Toner,7,3
CUS0000245,Đỗ Vy,Female,25,2023-03-05,Cleanser,7,3
CUS0000246,Trần Ngọc,Female,27,2025-12-09,Toner,7,8
CUS0000247,Bùi Phương,Female,18,2025-04-18,Cleanser,23,1
CUS0000248,Vũ Vy,Female,30,2023-09-26,Cleanser,10,8
CUS0000249,Dương Nga,Female,24,2022-01-27,Moisturizer,14,3
CUS0000250,Vũ Thu,Female,30,2023-12-28,Serum,20,8
CUS0000251,Trần Cường,Male,32,2025-10-23,Sunscreen,3,2
CUS0000252,Phạm Khoa,Male,33,2025-03-21,Sunscreen,5,3
CUS0000253,Hoàng Nam,Male,35,2025-12-30,Toner,17,7
CUS0000254,Nguyễn Linh,Female,16,2024-07-21,Serum,10,7
CUS0000255,Đặng Dũng,Male,18,2023-09-30,Cleanser,12,7
CUS0000256,Vũ Linh,Female,19,2024-05-01,Toner,7,3
CUS0000257,Lý Cường,Male,37,2024-01-22,Sunscreen,7,3
CUS0000258,Bùi Phương,Female,37,2023-11-09,Cleanser,11,5
CUS0000259,Hoàng Long,Male,24,2023-01-23,Moisturizer,7,3
CUS0000260,Hồ Hoa,Female,18,2023-04-11,Sunscreen,23,2
CUS0000261,Lý Nhung,Female,30,2024-12-14,Cleanser,10,8
CUS0000262,Bùi Chi,Female,17,2024-02-24,Sunscreen,21,7
CUS0000263,Dương Ngọc,Female,37,2022-03-01,Serum,11,7
CUS0000264,Lý Phương,Female,36,2025-07-31,Toner,10,7
CUS0000265,Nguyễn Hoa,Female,32,2022-05-25,Toner,17,7
CUS0000266,Vũ Phúc,Male,36,2025-10-18,Cleanser,13,1
CUS0000267,Phạm Việt,Male,36,2025-08-07,Serum,3,6
CUS0000268,Vũ Diệu,Female,27,2022-10-06,Cleanser,11,6
CUS0000269,Lê Hương,Female,29,2023-03-09,Sunscreen,3,2
CUS0000270,Lê Thảo,Female,20,2024-04-08,Sunscreen,23,3
CUS0000271,Lý Vy,Female,18,2024-04-22,Moisturizer,22,2
CUS0000272,Vũ Tuấn,Male,31,2024-06-10,Sunscreen,18,5
CUS0000273,Hồ Long,Male,27,2023-08-04,Serum,20,2
CUS0000274,Phạm Hà,Female,40,2024-07-31,Sunscreen,10,8
CUS0000275,Dương Lan,Female,26,2024-09-07,Toner,22,7
CUS0000276,Nguyễn Anh,Male,22,2025-09-02,Cleanser,7,6
CUS0000277,Bùi Anh,Male,28,2022-04-30,Serum,8,1
CUS0000278,Phạm Ngọc,Female,19,2025-07-20,Moisturizer,23,2
CUS0000279,Phan Nhung,Female,24,2025-04-06,Cleanser,7,2
CUS0000280,Dương Thảo,Female,27,2025-08-17,Serum,22,3
CUS0000281,Đỗ Trang,Female,31,2024-03-11,Toner,18,3
CUS0000282,Hoàng Phương,Female,26,2023-09-09,Serum,20,3
CUS0000283,Đỗ Anh,Male,27,2022-12-02,Moisturizer,7,1
CUS0000284,Bùi Trang,Female,40,2025-04-14,Serum,17,7
CUS0000285,Dương Ngọc,Female,23,2025-02-24,Serum,19,2
CUS0000286,Lê Hà,Female,29,2023-05-26,Toner,20,8
CUS0000287,Lý Việt,Male,28,2024-06-18,Cleanser,7,8
CUS0000288,Nguyễn Bảo,Female,31,2023-05-19,Serum,3,7
CUS0000289,Lý Tài,Male,33,2023-02-07,Toner,15,5
CUS0000290,Dương Hương,Female,27,2023-09-09,Sunscreen,16,2
CUS0000291,Lý Nam,Male,23,2024-01-30,Sunscreen,21,7
CUS0000292,Nguyễn Vy,Female,41,2022-12-11,Serum,22,8
CUS0000293,Đỗ Dũng,Male,25,2025-11-22,Toner,8,2
CUS0000294,Dương Nga,Female,31,2024-04-22,Serum,22,7
CUS0000295,Đặng Vy,Female,31,2024-11-12,Serum,20,7
CUS0000296,Trần Ngọc,Female,24,2024-04-16,Serum,21,2
CUS0000297,Trần Diệu,Female,30,2024-07-17,Toner,23,8
CUS0000298,Bùi Mai,Female,38,2022-04-13,Serum,17,5
CUS0000299,Đặng Việt,Male,39,2023-12-27,Serum,11,7
CUS0000300,Nguyễn Lan,Female,16,2025-09-14,Serum,6,2
CUS0000301,Phạm Linh,Female,24,2025-09-16,Serum,16,7
CUS0000302,Đặng Vy,Female,25,2025-02-20,Serum,16,2
CUS0000303,Đặng Chi,Female,23,2023-08-04,Serum,10,6
CUS0000304,Ngô Chi,Female,24,2024-12-25,Moisturizer,23,7
CUS0000305,Phạm Hoa,Female,40,2025-03-02,Toner,1,7
CUS0000306,Lê Nga,Female,16,2024-11-06,Sunscreen,16,7
CUS0000307,Đỗ Nam,Male,35,2024-11-26,Serum,15,3
CUS0000308,Phan Bình,Male,18,2025-01-10,Serum,11,2
CUS0000309,Hồ Bảo,Female,39,2023-10-08,Toner,1,8
CUS0000310,Hoàng Linh,Female,16,2025-11-22,Serum,14,3
CUS0000311,Đặng Quân,Male,38,2024-10-03,Toner,21,8
CUS0000312,Trần Dũng,Male,31,2024-08-12,Serum,15,6
CUS0000313,Đỗ Vy,Female,22,2022-06-17,Cleanser,22,1
CUS0000314,Trần Nhung,Female,31,2022-06-05,Serum,10,2
CUS0000315,Hoàng Thu,Female,25,2022-01-27,Toner,3,3
CUS0000316,Đặng Mai,Female,17,2025-06-20,Serum,8,3
CUS0000317,Vũ Ngọc,Female,19,2023-11-06,Sunscreen,17,8
CUS0000318,Dương Hà,Female,27,2024-04-11,Cleanser,10,8
CUS0000319,Phan Bình,Male,31,2023-07-18,Cleanser,20,8
CUS0000320,Lê Bảo,Female,23,2023-04-25,Sunscreen,20,7
CUS0000321,Hoàng Nga,Female,34,2022-04-15,Sunscreen,20,7
CUS0000322,Phan Hà,Female,27,2022-02-06,Moisturizer,3,2
CUS0000323,Trần Trang,Female,38,2025-07-11,Serum,22,5
CUS0000324,Phan Chi,Female,30,2025-01-08,Sunscreen,17,8
CUS0000325,Dương Sơn,Male,17,2024-11-12,Sunscreen,17,2
CUS0000326,Lê Cường,Male,22,2022-08-22,Serum,19,6
CUS0000327,Trần Ngọc,Female,16,2025-04-19,Sunscreen,23,5
CUS0000328,Hoàng Nam,Male,26,2022-06-17,Toner,17,2
CUS0000329,Lê Hà,Female,34,2024-04-17,Sunscreen,17,2
CUS0000330,Trần Trang,Female,25,2025-01-20,Sunscreen,10,5
CUS0000331,Đỗ Anh,Male,40,2024-12-03,Serum,7,7
CUS0000332,Vũ Tài,Male,29,2023-09-13,Sunscreen,19,4
CUS0000333,Lê Linh,Female,29,2025-03-26,Moisturizer,23,2
CUS0000334,Hoàng Thảo,Female,30,2024-09-14,Toner,20,5
CUS0000335,Đỗ Thảo,Female,23,2025-03-01,Cleanser,19,3
CUS0000336,Ngô Trang,Female,16,2022-09-14,Serum,15,7
CUS0000337,Đặng Hùng,Male,29,2022-09-24,Serum,16,2
CUS0000338,Dương Dũng,Male,29,2024-09-23,Toner,3,7
CUS0000339,Đỗ Nga,Female,20,2023-07-18,Serum,15,6
CUS0000340,Nguyễn An,Female,25,2022-10-22,Serum,15,7
CUS0000341,Trần Lan,Female,22,2025-06-07,Sunscreen,10,6
CUS0000342,Nguyễn Thảo,Female,27,2023-07-28,Toner,7,8
CUS0000343,Hồ Hoa,Female,23,2025-08-09,Serum,4,2
CUS0000344,Trần Nhung,Female,26,2022-01-21,Toner,20,7
CUS0000345,Đỗ Linh,Female,42,2025-08-19,Toner,8,7
CUS0000346,Phan Chi,Female,37,2024-07-28,Moisturizer,11,7
CUS0000347,Trần Vy,Female,31,2024-08-25,Cleanser,21,8
CUS0000348,Trần Thảo,Female,31,2022-02-03,Cleanser,22,5
CUS0000349,Dương Diệu,Female,28,2024-09-13,Moisturizer,19,8
CUS0000350,Vũ Diệu,Female,16,2024-09-05,Sunscreen,11,3
CUS0000351,Phan Nhung,Female,27,2023-05-08,Toner,19,6
CUS0000352,Lý Trang,Female,30,2022-07-27,Cleanser,17,7
CUS0000353,Nguyễn Diệu,Female,21,2025-10-04,Serum,4,2
CUS0000354,Phạm Nga,Female,26,2022-04-21,Cleanser,15,2
CUS0000355,Đỗ Chi,Female,27,2023-06-26,Sunscreen,7,6
CUS0000356,Ngô Linh,Female,25,2023-01-24,Serum,19,5
CUS0000357,Bùi Hải,Male,16,2023-03-23,Sunscreen,22,8
CUS0000358,Dương Lan,Female,34,2025-05-27,Serum,7,1
CUS0000359,Lý Chi,Female,23,2025-06-08,Toner,3,7
CUS0000360,Bùi Linh,Female,22,2025-11-10,Moisturizer,23,7
CUS0000361,Hoàng Hải,Male,24,2024-09-06,Moisturizer,7,8
CUS0000362,Lê Thu,Female,42,2023-04-12,Serum,22,6
CUS0000363,Lý Vy,Female,34,2023-05-23,Sunscreen,17,7
CUS0000364,Hồ Linh,Female,21,2024-02-05,Sunscreen,16,7
CUS0000365,Lê Thu,Female,24,2025-06-25,Cleanser,6,8
CUS0000366,Trần Hà,Female,27,2025-05-31,Sunscreen,14,8
CUS0000367,Lý Hà,Female,19,2023-09-03,Toner,19,8
CUS0000368,Trần Nhung,Female,26,2024-12-20,Serum,8,7
CUS0000369,Nguyễn Mai,Female,38,2024-06-08,Toner,10,8
CUS0000370,Nguyễn Ngọc,Female,36,2025-10-24,Sunscreen,11,7
CUS0000371,Dương Bảo,Female,35,2025-09-04,Sunscreen,10,1
CUS0000372,Trần Bình,Male,18,2024-01-14,Cleanser,10,8
CUS0000373,Ngô Linh,Female,20,2024-10-26,Sunscreen,11,5
CUS0000374,Hồ Trang,Female,16,2025-10-07,Serum,23,5
CUS0000375,Hoàng Trang,Female,31,2025-05-12,Sunscreen,23,7
CUS0000376,Phan Dũng,Male,16,2025-09-19,Sunscreen,15,2
CUS0000377,Phạm Diệu,Female,17,2023-12-25,Cleanser,8,7
